Attendance,Extracurricular_Activities,Previous_Scores_1,previous_Score_2,Assignment_Score,Previous_Semester_CGPA,Rating
86,Yes,89,69,38,8.0,8.8
75,Yes,81,70,40,7.7,7.8
98,No,69,69,31,7.1,6.9
73,No,95,65,35,7.6,7.6
98,Yes,52,70,32,6.2,7.0
96,Yes,72,71,39,6.9,8.3
71,Yes,88,65,36,7.3,8.4
92,No,91,72,39,8.2,8.2
100,Yes,60,69,35,6.6,7.0
70,No,52,66,26,5.5,5.3
77,Yes,90,68,43,7.5,8.6
81,Yes,71,65,29,7.2,7.1
72,Yes,57,64,29,5.6,6.5
61,Yes,54,60,24,5.4,6.1
56,Yes,37,22,11,2.5,2.9
52,No,38,31,12,3.5,3.5
78,Yes,93,74,43,8.4,8.4
42,Yes,24,22,10,1.9,2.9
95,No,93,70,42,8.4,8.2
40,Yes,34,31,17,3.0,3.4
63,Yes,72,67,36,6.8,7.7
86,No,54,64,25,6.2,5.7
86,No,97,71,43,8.4,8.1
98,Yes,54,68,28,5.7,6.3
60,No,80,64,33,7.5,7.4
70,Yes,75,63,36,7.2,7.3
97,Yes,92,71,36,8.2,8.1
97,Yes,75,69,36,7.1,8.1
89,Yes,73,100,41,8.2,9.0
91,No,94,68,44,8.4,8.6
64,No,98,62,38,8.2,7.5
47,Yes,40,34,13,3.2,3.7
69,Yes,73,66,35,7.1,7.4
67,No,92,64,38,7.5,7.3
92,No,92,67,42,7.9,8.3
65,Yes,66,65,32,7.0,7.1
79,Yes,79,65,40,7.6,8.2
98,No,58,69,34,6.0,6.0
67,No,82,63,40,7.5,7.7
99,Yes,92,72,39,8.3,9.2
100,No,59,76,31,7.2,6.6
82,Yes,66,69,32,7.0,7.6
59,Yes,41,37,16,3.7,4.5
73,Yes,92,69,38,7.7,8.5
77,Yes,87,63,34,7.7,7.8
72,No,66,67,36,6.9,7.3
71,Yes,62,66,36,6.3,7.5
99,Yes,85,79,45,8.5,8.8
66,No,74,64,34,7.1,6.9
89,Yes,80,73,39,7.5,8.5
60,No,28,40,17,3.2,3.1
84,No,78,65,35,6.7,7.5
48,Yes,28,21,9,2.5,3.4
72,Yes,94,70,43,8.4,8.7
67,No,93,68,40,8.0,7.9
86,Yes,57,65,26,6.3,6.6
89,Yes,79,71,35,7.4,8.0
88,No,72,64,37,6.8,7.2
73,Yes,64,68,36,6.7,7.4
70,Yes,82,69,37,7.8,8.5
98,No,76,69,32,7.7,7.7
97,No,89,69,36,8.3,7.9
78,Yes,55,67,27,6.4,7.1
94,Yes,65,68,33,6.7,6.8
78,Yes,51,64,26,5.6,6.0
47,No,40,26,16,3.3,3.6
66,No,96,63,35,8.2,7.8
59,Yes,26,44,22,3.8,4.6
81,No,81,66,34,7.6,7.1
61,Yes,52,67,34,6.3,7.1
78,No,75,65,35,6.9,7.1
91,Yes,76,68,37,7.5,8.2
87,No,52,68,26,5.7,5.4
85,No,89,65,37,7.2,7.7
96,No,64,71,30,6.8,7.1
45,No,36,23,12,3.0,2.5
82,No,70,64,38,6.2,6.7
43,No,41,43,25,4.5,4.0
82,No,61,65,28,6.2,6.1
60,No,42,20,18,3.0,3.1
65,No,99,61,41,8.3,8.0
96,Yes,62,68,37,6.2,7.1
79,Yes,82,69,35,7.2,8.3
95,Yes,69,72,31,7.4,8.1
83,Yes,82,71,41,8.1,8.3
53,No,26,32,13,3.1,2.6
49,Yes,31,44,15,4.0,4.0
86,Yes,51,67,28,5.5,6.7
76,Yes,92,68,40,8.1,8.5
81,Yes,74,68,35,6.9,7.8
60,Yes,37,29,15,3.7,4.4
53,No,27,37,17,3.0,3.5
76,No,99,66,45,7.8,7.8
42,Yes,26,27,10,2.5,2.7
97,Yes,66,67,33,6.7,7.6
64,No,89,66,42,7.4,7.4
86,No,72,69,39,6.8,7.6
77,Yes,94,66,43,8.1,8.9
76,Yes,52,69,30,6.1,6.4
87,Yes,68,67,35,6.3,7.0
49,Yes,20,37,16,3.1,3.3
84,Yes,87,71,42,7.6,8.9
91,No,59,70,31,6.0,6.1
93,No,64,71,38,7.2,6.8
67,Yes,86,66,35,7.3,7.6
96,No,54,67,29,6.0,6.1
86,No,60,66,35,6.2,6.2
48,No,23,42,20,3.6,3.1
79,No,94,68,45,8.0,7.8
82,No,86,69,35,8.1,7.9
60,Yes,35,25,15,3.4,3.7
96,Yes,55,70,29,6.1,6.7
78,No,91,67,35,8.1,7.4
46,Yes,34,25,12,2.7,3.5
76,No,69,65,29,6.7,6.8
54,No,37,40,19,3.8,3.9
53,Yes,28,30,11,3.3,4.0
59,Yes,21,41,19,2.8,3.5
94,Yes,95,69,38,7.8,8.9
63,Yes,57,64,26,6.4,6.6
87,Yes,91,72,42,8.2,9.0
41,Yes,31,43,14,3.2,4.3
74,Yes,68,64,34,6.3,6.8
43,Yes,29,24,16,2.4,3.3
71,Yes,90,67,42,7.6,8.4
91,No,72,71,38,7.2,7.0
95,No,62,70,29,6.9,7.1
69,Yes,96,61,36,8.2,8.4
79,Yes,66,67,30,6.8,7.2
79,No,100,72,41,8.6,8.4
95,Yes,88,66,41,7.7,8.6
91,Yes,84,70,41,7.8,8.7
41,Yes,35,20,12,2.3,3.6
87,Yes,72,67,36,6.5,7.6
94,Yes,75,71,34,7.5,7.7
60,Yes,69,66,36,6.3,6.7
76,Yes,57,68,27,6.7,7.3
96,Yes,68,74,36,6.9,7.2
49,Yes,32,29,13,3.0,3.1
41,No,42,22,18,2.7,3.5
81,Yes,54,66,25,5.8,6.2
74,Yes,88,66,34,7.3,8.1
81,No,84,68,40,7.3,7.9
86,Yes,97,78,44,8.4,9.1
77,Yes,69,67,30,7.1,7.6
89,Yes,89,74,40,7.7,8.8
94,No,79,74,38,7.9,8.0
66,No,82,62,31,7.4,6.8
45,Yes,30,37,18,3.3,4.3
76,Yes,89,69,38,7.9,8.4
87,Yes,52,68,30,5.9,6.4
47,No,41,31,15,3.2,3.2
86,No,55,66,31,6.3,6.4
95,Yes,64,68,32,6.2,6.9
77,Yes,80,69,34,7.5,7.5
54,Yes,20,34,9,2.3,3.0
100,Yes,86,75,42,7.7,8.9
64,No,64,60,33,6.0,6.2
51,Yes,33,31,13,3.2,3.5
98,Yes,56,73,31,6.4,6.9
98,No,50,68,26,6.2,6.2
64,Yes,85,62,41,7.5,7.8
61,No,86,62,39,7.0,7.0
66,Yes,81,65,33,7.4,7.3
100,Yes,63,69,34,7.0,7.8
67,No,96,64,43,8.2,7.7
80,No,94,67,40,8.5,7.9
94,Yes,76,70,37,7.6,8.4
60,No,21,32,15,2.2,3.2
84,No,65,69,38,6.4,6.7
71,No,75,61,32,7.2,7.2
94,No,96,69,39,8.7,8.0
71,Yes,73,63,30,6.6,6.8
87,Yes,74,67,34,7.1,8.0
87,No,54,65,27,6.2,6.6
69,Yes,61,66,29,6.5,6.3
61,No,58,63,28,6.2,5.6
76,Yes,78,68,33,7.7,8.2
72,No,66,65,35,7.0,6.8
92,Yes,54,67,31,5.8,6.9
92,Yes,75,68,40,6.9,7.8
78,No,83,64,38,7.1,7.7
84,No,87,71,41,8.0,7.9
84,Yes,92,69,44,8.2,9.0
93,Yes,74,67,31,7.2,7.6
77,No,70,65,30,7.1,6.7
71,No,84,68,38,8.1,8.0
71,Yes,51,67,29,5.6,5.9
81,Yes,82,67,32,7.0,7.6
78,Yes,70,66,36,6.6,7.1
78,No,73,70,35,7.2,6.8
64,Yes,65,65,29,6.9,6.9
50,Yes,23,40,15,3.1,3.3
69,Yes,70,65,33,6.9,7.6
68,No,65,63,32,6.2,6.2
77,No,98,67,36,8.6,8.2
69,Yes,97,61,41,7.7,8.4
83,Yes,82,65,37,7.2,8.1
75,Yes,95,66,36,8.0,8.6
78,Yes,88,66,37,8.0,7.9
81,Yes,67,69,29,7.1,6.9
68,No,80,63,37,7.5,6.9
66,No,61,65,26,6.5,5.8
95,No,84,67,42,7.1,7.8
77,Yes,52,69,28,6.5,7.0
76,Yes,92,65,35,8.2,8.6
61,No,79,65,34,7.0,7.1
80,Yes,53,65,29,5.9,6.1
82,Yes,94,67,43,7.6,8.5
82,Yes,94,66,44,7.9,8.6
88,No,93,72,42,8.3,8.3
67,No,89,66,34,8.1,7.5
70,Yes,84,65,38,7.9,7.7
92,Yes,70,69,33,7.0,7.8
52,No,42,39,20,4.0,4.2
58,No,31,38,15,3.6,4.0
80,No,67,69,37,6.7,6.7
69,Yes,68,59,32,6.5,6.9
62,Yes,78,68,32,7.7,8.1
53,No,41,42,18,4.5,4.5
66,No,59,62,32,5.6,6.2
54,Yes,21,38,11,2.8,3.8
52,Yes,27,24,13,2.1,2.6
66,Yes,57,64,31,6.1,6.4
60,Yes,72,65,37,6.9,7.4
51,Yes,44,37,24,4.0,4.6
67,No,98,63,40,8.5,7.6
84,Yes,84,70,33,7.8,8.3
73,Yes,72,66,38,6.8,7.6
83,Yes,56,68,32,6.3,7.3
51,No,22,35,15,2.9,3.4
63,No,83,63,36,7.8,7.8
69,Yes,98,66,42,8.0,9.0
68,Yes,74,65,33,6.7,7.2
77,Yes,85,66,34,7.5,7.5
53,Yes,41,44,21,4.5,4.5
71,Yes,81,66,36,7.8,8.0
60,No,62,63,26,5.8,5.9
81,Yes,60,66,32,5.8,6.6
84,No,75,67,33,6.9,7.5
99,Yes,61,71,36,6.9,7.1
84,Yes,86,67,37,7.8,8.2
79,Yes,97,69,40,8.1,8.6
83,Yes,70,67,33,7.3,7.1
97,Yes,66,72,31,7.1,7.1
93,No,59,70,29,6.2,6.5
73,Yes,70,67,32,6.9,7.7
69,Yes,78,64,39,7.5,8.1
71,No,69,67,38,6.6,6.7
80,No,81,69,38,7.7,7.1
90,No,83,68,37,7.2,7.5
80,No,55,63,33,5.5,5.8
63,Yes,85,68,40,7.6,7.8
89,Yes,95,70,41,8.1,8.5
92,Yes,51,66,28,6.1,7.0
72,No,78,68,36,7.2,6.9
87,Yes,80,67,33,7.4,8.3
59,Yes,34,27,18,3.4,3.6
48,Yes,29,35,19,2.7,4.2
94,Yes,91,68,44,7.8,8.8
49,Yes,21,44,14,3.1,3.3
88,Yes,70,70,37,7.0,7.8
95,Yes,86,74,35,8.3,8.5
80,Yes,96,70,39,7.9,9.1
73,Yes,91,66,37,7.4,7.7
90,Yes,97,69,46,8.1,8.8
69,No,63,64,35,6.6,6.7
76,Yes,56,62,30,5.8,6.2
48,No,38,21,10,2.8,2.8
89,Yes,52,68,26,6.3,6.8
76,Yes,84,65,34,7.1,7.6
69,No,62,65,32,5.9,6.1
74,Yes,73,71,36,7.3,7.7
71,Yes,83,66,41,7.1,7.9
67,No,74,61,36,7.1,7.2
90,Yes,62,67,32,6.5,6.7
47,Yes,27,26,12,2.3,3.5
78,No,88,65,37,8.0,7.7
75,Yes,80,65,33,7.7,7.8
99,No,85,73,37,7.7,7.4
76,Yes,71,62,33,6.7,7.2
63,Yes,69,60,29,6.6,6.8
64,Yes,58,61,26,5.6,6.4
84,Yes,90,67,36,7.8,7.8
84,No,69,70,33,7.4,6.6
77,No,85,69,33,7.6,7.6
77,Yes,65,66,30,6.9,6.7
62,No,90,64,40,7.3,7.9
81,Yes,55,68,26,6.5,7.2
80,Yes,81,67,39,7.6,7.6
66,No,90,64,38,7.5,7.7
64,Yes,83,65,35,7.3,7.9
65,Yes,85,66,37,7.9,7.7
64,Yes,76,63,39,7.0,8.0
84,Yes,78,68,33,7.6,8.0
50,Yes,24,33,10,2.6,3.7
70,No,63,63,35,5.8,6.4
67,No,86,63,34,7.7,7.2
98,Yes,97,74,43,8.5,9.2
94,Yes,77,70,40,7.3,8.3
69,Yes,86,68,35,7.4,8.1
73,Yes,84,66,42,7.0,7.5
68,No,100,63,44,8.1,8.5
80,No,90,67,39,7.9,7.6
61,No,81,62,39,7.2,7.2
87,No,56,71,28,5.9,6.2
81,No,68,72,35,7.5,7.2
96,Yes,63,72,34,6.4,7.2
67,Yes,93,68,40,8.1,8.0
92,Yes,72,66,30,6.9,7.0
92,No,77,70,33,7.2,7.4
65,Yes,98,66,37,8.6,8.4
76,Yes,92,72,36,8.1,8.0
67,Yes,89,64,40,7.6,7.7
70,No,57,63,34,6.4,6.6
71,No,51,61,31,5.6,6.2
82,Yes,56,62,32,5.7,6.1
76,No,87,68,36,8.0,7.3
98,Yes,71,68,38,6.7,8.1
65,No,56,63,25,5.5,5.9
99,Yes,87,70,35,7.9,8.2
69,Yes,60,68,30,6.5,6.7
91,Yes,79,72,34,7.2,7.5
74,Yes,87,67,42,7.8,8.7
66,No,80,61,32,7.5,6.9
94,No,100,69,43,8.2,8.3
72,Yes,72,61,29,6.6,7.1
86,Yes,66,75,34,7.5,7.4
47,No,34,37,18,3.8,4.1
41,Yes,40,42,16,4.5,4.2
55,Yes,32,23,17,2.7,3.4
89,Yes,97,75,46,8.5,9.5
64,No,99,64,40,8.1,7.7
87,No,77,70,35,7.5,7.5
59,No,35,24,16,3.1,3.5
62,Yes,79,63,35,6.7,7.1
66,No,73,65,31,6.4,6.5
89,Yes,58,67,29,6.7,6.9
77,Yes,53,86,36,6.6,6.9
56,No,29,37,14,3.7,3.7
58,No,39,33,19,3.5,4.1
80,No,94,66,40,7.9,8.3
65,No,88,65,36,7.9,7.2
79,No,81,67,40,7.9,8.0
91,No,52,69,25,6.1,5.8
70,No,81,66,40,7.7,7.1
79,Yes,81,64,31,7.0,7.3
100,Yes,72,73,31,7.0,8.0
87,No,83,66,41,7.7,7.7
94,No,93,68,35,7.8,8.0
77,Yes,88,70,40,8.0,8.6
91,No,74,69,33,6.9,7.6
62,Yes,63,67,34,6.0,6.5
65,No,74,62,30,6.5,7.1
60,No,24,23,15,2.2,2.3
76,Yes,91,72,41,7.7,8.4
94,No,51,69,27,6.1,5.9
74,No,89,66,36,7.9,7.3
86,No,59,70,35,6.3,6.4
88,No,79,71,35,7.0,7.6
83,Yes,90,65,42,7.4,8.6
74,Yes,78,70,32,7.4,8.0
41,No,38,42,19,3.6,3.8
74,No,66,62,34,6.7,6.7
63,Yes,65,62,31,6.5,7.1
50,Yes,32,44,21,4.1,4.8
65,Yes,91,66,42,7.6,8.2
63,Yes,91,67,36,8.3,7.9
95,No,64,72,37,6.3,7.1
72,Yes,90,66,37,7.7,8.5
86,Yes,52,68,34,5.5,6.7
73,No,60,62,35,6.2,5.9
76,Yes,76,64,30,6.6,7.0
70,No,70,65,28,7.2,6.9
74,Yes,56,66,35,5.9,7.2
76,No,52,64,25,6.3,5.8
89,Yes,81,67,40,7.0,8.3
80,Yes,66,69,36,7.2,7.4
98,Yes,51,68,27,6.0,6.5
62,No,72,64,37,6.5,6.3
80,Yes,65,68,38,7.1,7.9
83,Yes,79,64,39,7.2,7.9
97,No,96,71,44,7.9,8.4
62,Yes,65,61,26,6.4,7.0
83,No,100,68,45,8.1,8.4
94,Yes,54,73,34,5.9,6.8
70,Yes,54,64,27,5.9,6.6
95,Yes,86,72,40,7.7,8.7
61,Yes,87,65,41,7.6,8.1
89,Yes,71,68,34,6.6,7.4
97,Yes,64,71,34,6.8,6.9
86,Yes,90,65,37,8.0,8.5
52,No,42,20,16,2.7,3.1
62,No,99,63,37,7.6,7.9
97,No,82,74,37,8.1,7.5
79,Yes,87,66,34,7.4,7.6
61,No,91,63,35,8.1,7.3
88,Yes,90,72,38,8.1,8.6
79,No,100,69,40,8.1,8.2
65,Yes,91,67,37,8.4,8.8
69,No,83,66,36,7.7,7.3
63,No,69,64,35,7.0,6.9
83,No,80,67,32,7.4,7.7
85,No,94,69,37,8.3,8.0
80,Yes,65,65,33,6.9,7.4
93,No,52,64,33,6.1,6.4
94,Yes,66,65,37,6.8,7.6
85,Yes,98,72,41,8.2,8.8
61,Yes,90,66,34,7.4,7.6
88,No,59,66,28,6.5,6.2
77,Yes,51,67,30,5.4,6.6
83,Yes,83,69,36,7.6,8.4
86,Yes,79,73,36,7.2,7.6
47,No,21,28,8,2.7,2.2
97,No,98,68,39,8.7,8.1
65,Yes,81,61,31,6.6,7.2
87,Yes,83,63,39,7.8,8.4
60,Yes,93,63,34,7.8,8.0
97,Yes,67,68,33,6.3,7.6
60,No,30,21,12,2.2,2.3
56,Yes,40,32,17,3.4,4.6
73,Yes,98,65,42,7.7,8.6
75,No,57,68,33,6.1,6.5
69,Yes,88,66,33,7.7,7.9
83,No,79,66,33,7.1,7.2
78,No,92,70,38,8.1,8.3
61,Yes,92,61,41,7.6,7.7
73,Yes,51,61,28,5.7,5.8
92,Yes,63,71,36,6.7,7.2
41,Yes,34,24,15,2.7,3.3
89,Yes,73,70,33,7.0,7.3
88,No,95,69,44,8.7,8.6
72,No,50,65,24,5.6,5.3
64,Yes,74,61,38,6.3,7.5
71,No,94,68,42,8.0,8.4
93,Yes,96,74,46,8.4,9.2
99,No,83,67,41,7.2,7.2
80,Yes,91,70,37,7.7,8.7
60,Yes,66,59,33,6.5,7.2
66,No,64,64,29,6.5,6.3
73,Yes,52,66,24,6.2,6.0
83,Yes,75,63,37,7.1,7.5
63,Yes,73,61,29,7.0,7.1
98,Yes,69,68,32,6.4,7.0
43,No,35,26,16,3.2,2.7
97,No,62,69,30,6.1,6.4
91,Yes,60,68,27,6.4,7.1
90,Yes,97,69,41,8.2,9.2
84,Yes,98,67,42,8.5,9.0
85,No,50,70,27,5.7,6.2
86,Yes,59,68,32,6.1,7.2
50,No,34,28,16,3.6,3.6
82,No,52,67,34,6.3,5.8
99,Yes,97,75,41,8.1,9.1
89,Yes,69,63,30,6.7,7.6
91,No,77,70,35,7.8,7.7
95,Yes,88,70,41,8.0,8.3
69,Yes,62,64,27,6.0,6.5
63,No,55,59,27,5.6,5.8
40,No,30,40,19,3.6,3.8
48,Yes,22,30,10,3.1,2.9
93,Yes,83,68,36,8.0,8.1
78,Yes,91,68,41,8.3,8.6
83,No,97,97,44,10.0,9.6
81,No,61,66,32,6.3,6.3
62,No,68,61,31,6.0,6.7
85,No,61,70,32,6.3,6.2
93,Yes,53,65,29,6.2,6.8
53,Yes,43,36,23,4.3,5.0
53,Yes,37,20,17,2.6,3.2
84,No,55,64,26,5.9,6.2
53,Yes,41,25,21,2.9,3.6
56,No,22,34,10,2.3,2.8
99,No,59,68,32,6.2,6.6
76,No,53,67,32,5.8,6.5
69,No,94,62,34,7.6,7.9
67,Yes,89,66,38,7.4,8.1
87,Yes,93,72,38,8.1,8.8
84,Yes,93,68,39,8.2,8.5
86,Yes,97,71,39,8.2,9.0
64,Yes,59,65,33,6.0,7.1
96,Yes,95,68,38,8.5,8.3
76,No,76,65,37,6.8,7.1
73,Yes,58,64,26,6.0,6.3
78,No,83,65,32,7.3,6.9
76,Yes,66,65,31,6.5,7.3
95,No,52,73,26,6.2,6.6
97,Yes,54,72,32,6.8,7.4
72,Yes,71,64,31,6.6,7.2
95,Yes,91,69,38,8.2,8.1
91,No,66,69,36,6.6,6.5
97,Yes,88,70,37,7.7,8.2
57,No,44,44,18,4.0,4.7
83,No,70,68,36,6.7,6.5
71,Yes,56,84,31,7.2,7.2
93,Yes,93,75,46,8.6,8.7
60,No,98,67,37,8.7,8.4
83,Yes,66,69,31,6.6,7.0
74,No,99,71,37,8.6,8.0
73,Yes,88,66,34,7.7,7.8
86,No,50,65,28,5.6,6.2
94,No,74,70,32,6.9,6.9
84,No,92,66,40,7.5,8.3
41,Yes,32,39,17,4.0,4.5
71,No,77,66,33,6.9,6.7
81,No,72,68,35,7.3,6.7
78,Yes,70,68,30,6.8,7.4
60,No,31,24,10,2.4,2.8
82,Yes,81,71,40,7.4,8.5
86,No,88,63,36,7.6,8.0
84,No,90,69,35,7.9,8.2
89,Yes,81,71,40,7.3,8.5
46,Yes,30,21,17,2.2,3.7
40,No,38,33,13,3.5,3.4
65,Yes,95,65,39,7.6,8.4
84,No,71,69,33,7.3,7.3
71,No,80,66,35,7.5,7.5
63,Yes,60,67,29,6.3,7.2
77,Yes,57,65,31,6.4,7.0
82,Yes,54,65,31,6.1,6.1
73,No,90,67,41,7.4,7.8
89,Yes,82,66,35,7.1,7.4
86,Yes,81,69,39,7.6,7.9
73,No,96,64,35,7.8,7.5
45,Yes,21,25,11,2.6,2.6
86,Yes,59,68,27,6.1,6.8
85,Yes,59,68,30,6.3,7.1
82,Yes,71,69,39,6.6,7.3
60,Yes,94,68,45,7.7,8.5
88,Yes,94,70,42,7.9,9.0
75,Yes,80,67,34,7.1,7.4
98,Yes,83,72,34,7.9,7.8
93,No,95,69,37,8.3,8.5
84,No,81,69,39,7.5,7.1
53,Yes,33,37,14,3.4,4.0
68,Yes,85,63,36,7.5,7.9
74,Yes,88,70,40,7.4,7.7
79,Yes,82,70,37,8.0,8.2
72,Yes,64,66,28,6.3,6.4
81,No,70,70,36,7.3,7.7
67,Yes,74,66,39,7.2,7.4
99,Yes,57,68,34,6.7,7.5
64,No,73,61,30,7.1,7.0
97,No,58,72,35,6.2,6.7
97,No,75,69,37,6.8,6.9
81,Yes,53,63,28,5.7,6.7
89,Yes,97,72,39,8.7,8.8
48,Yes,43,25,18,3.3,4.4
85,Yes,73,74,34,7.3,8.2
74,Yes,52,62,25,5.2,5.6
72,No,60,65,35,6.3,6.6
83,No,85,68,40,7.7,7.3
80,Yes,56,66,31,6.1,6.8
46,Yes,32,28,12,3.1,3.5
54,No,39,44,18,3.9,3.6
75,Yes,73,65,38,6.8,7.9
63,No,86,68,34,7.8,7.6
62,No,96,70,44,8.8,8.9
70,No,75,67,39,7.5,7.5
63,No,92,63,41,7.8,7.9
64,Yes,90,63,40,7.9,8.2
93,No,65,69,30,6.7,7.1
62,Yes,94,66,44,7.9,8.0
86,Yes,82,70,36,7.3,7.6
71,Yes,55,63,25,6.0,6.6
95,Yes,97,72,46,8.7,9.4
79,Yes,59,65,34,6.6,7.4
72,Yes,74,67,36,7.1,7.4
81,Yes,73,63,34,7.2,7.1
56,No,27,25,11,2.3,2.2
83,Yes,83,67,33,7.3,7.4
65,Yes,62,80,36,6.9,7.1
100,Yes,68,68,38,6.4,7.2
45,Yes,43,36,22,3.5,4.3
54,No,28,38,16,3.1,2.9
88,No,91,73,45,8.5,8.0
50,Yes,30,28,11,2.8,3.8
93,Yes,72,66,33,6.8,7.5
78,No,55,66,31,5.8,6.4
89,Yes,72,69,31,7.1,8.0
64,Yes,65,59,32,5.8,6.2
94,No,89,68,40,7.4,8.2
89,No,55,67,32,5.9,6.0
68,Yes,73,64,35,7.2,7.9
66,Yes,80,65,39,7.0,7.5
73,No,99,68,37,8.8,8.1
99,Yes,54,70,35,5.9,6.6
70,No,56,62,30,6.3,6.1
78,Yes,99,72,40,8.6,8.7
61,Yes,70,62,33,6.8,7.6
76,Yes,87,68,43,8.0,8.5
83,No,89,69,36,7.9,8.2
98,No,66,73,38,6.8,7.1
50,No,42,37,16,3.5,3.4
93,Yes,64,67,29,7.0,6.8
82,No,88,65,40,7.8,8.1
62,No,92,63,35,7.7,7.5
73,Yes,85,66,42,7.2,8.4
83,No,72,66,30,7.0,6.8
60,No,20,26,12,2.0,2.5
47,No,35,31,13,3.0,3.5
69,No,96,70,41,8.7,7.9
69,No,93,58,39,7.1,7.7
68,No,66,67,30,6.8,6.5
97,Yes,66,73,37,6.5,7.2
94,No,89,66,41,7.6,8.0
91,Yes,71,70,39,6.6,8.0
76,No,79,67,32,7.1,7.3
80,No,71,60,33,6.8,6.6
60,No,41,35,18,3.7,3.5
70,No,59,63,30,6.2,6.1
80,Yes,57,72,28,6.8,6.6
61,Yes,51,62,25,6.1,6.2
65,Yes,64,70,29,6.9,7.2
95,Yes,59,70,33,6.8,7.6
90,No,63,64,33,5.9,6.0
77,Yes,54,64,34,5.9,6.7
81,Yes,67,67,38,6.3,7.7
75,Yes,76,64,37,7.4,8.0
90,Yes,97,72,38,8.0,8.8
91,No,67,66,30,6.3,6.7
91,No,52,66,32,5.5,6.3
89,Yes,68,71,36,6.9,7.7
68,No,91,66,37,7.8,8.0
74,Yes,67,64,34,7.0,7.3
79,No,65,66,37,6.6,6.9
73,Yes,96,62,42,8.3,8.3
90,No,65,70,35,7.0,7.2
73,Yes,99,69,40,8.8,9.0
66,No,92,65,39,7.7,7.7
76,Yes,84,70,43,7.8,8.1
99,Yes,80,70,34,7.8,8.2
52,Yes,27,29,11,3.1,3.7
84,Yes,87,69,37,8.1,8.7
77,No,67,62,32,6.2,6.7
63,Yes,74,67,40,7.4,8.1
80,No,55,65,25,6.1,5.7
88,No,65,65,34,6.6,6.9
81,Yes,76,65,32,7.3,8.0
95,Yes,73,69,36,7.4,7.8
43,No,31,34,18,3.4,3.7
63,Yes,74,66,39,7.3,7.7
97,Yes,87,67,37,7.3,7.8
75,No,73,69,33,7.5,7.3
83,Yes,75,67,33,6.9,7.7
42,Yes,36,44,15,3.8,4.5
73,Yes,92,67,37,8.4,8.7
89,No,76,70,39,7.7,7.5
65,Yes,97,65,41,8.0,8.3
72,No,68,63,37,6.1,7.0
66,Yes,63,64,34,6.1,7.2
92,Yes,85,69,39,7.7,8.4
69,No,59,60,31,5.7,5.6
49,Yes,21,39,14,3.3,3.4
98,Yes,69,72,38,7.5,8.1
81,Yes,85,63,38,7.0,8.2
82,No,79,63,34,7.3,7.2
